Times (s)	Voltage (Volts)
3.155000	2.221382
3.160000	2.211321
3.165000	2.201584
3.170000	2.184058
3.175000	2.175295
3.180000	2.168479
3.185000	2.160690
3.190000	2.153550
3.195000	2.148681
3.200000	2.141217
3.205000	2.136673
3.210000	2.135375
3.215000	2.135050
3.220000	2.135050
3.225000	2.136024
3.230000	2.137647
3.235000	2.139269
3.240000	2.141866
3.245000	2.145436
3.250000	2.151602
3.255000	2.154523
3.260000	2.162313
3.265000	2.169128
3.270000	2.179514
3.275000	2.190549
3.280000	2.202233
3.285000	2.211970
3.290000	2.224952
3.295000	2.237610
3.300000	2.249618
3.305000	2.264223
3.310000	2.280776
3.315000	2.299275
3.320000	2.318424
3.325000	2.334327
3.330000	2.355748
3.335000	2.377169
3.340000	2.399239
3.345000	2.423580
3.350000	2.444027
3.355000	2.469343
3.360000	2.490439
3.365000	2.517052
3.370000	2.540421
3.375000	2.565411
3.380000	2.593648
3.385000	2.622858
3.390000	2.652392
3.395000	2.679980
3.400000	2.704970
3.405000	2.736777
3.410000	2.766636
3.415000	2.793574
3.420000	2.830898
3.425000	2.862056
3.430000	2.890616
3.435000	2.925344
3.440000	2.952931
3.445000	2.987334
3.450000	3.019465
3.455000	3.052245
3.460000	3.086648
3.465000	3.117481
3.470000	3.146691
3.475000	3.184664
3.480000	3.216146
3.485000	3.248277
3.490000	3.280733
3.495000	3.312864
3.500000	3.344021
3.505000	3.377775
3.510000	3.406011
3.515000	3.440414
3.520000	3.473195
3.525000	3.501106
3.530000	3.532913
3.535000	3.561474
3.540000	3.591982
3.545000	3.618596
3.550000	3.648455
3.555000	3.674419
3.560000	3.698436
3.565000	3.728296
3.570000	3.752313
3.575000	3.775681
3.580000	3.805864
3.585000	3.823066
3.590000	3.849680
3.595000	3.870776
3.600000	3.887977
3.605000	3.911670
3.610000	3.931468
3.615000	3.950941
3.620000	3.970739
3.625000	3.986318
3.630000	4.004493
3.635000	4.021045
3.640000	4.033703
3.645000	4.050255
3.650000	4.059992
3.655000	4.072000
3.660000	4.080763
3.665000	4.092123
3.670000	4.104781
3.675000	4.112245
3.680000	4.114842
3.685000	4.129122
3.690000	4.131070
3.695000	4.136262
3.700000	4.138534
3.705000	4.138534
3.710000	4.139833
3.715000	4.146324
3.720000	4.145675
3.725000	4.146973
3.730000	4.144052
3.735000	4.143078
3.740000	4.140806
