time (s) 	 Output Voltage(v) 	 Input Voltage(v)
1.13500000 	 3.62281486 	 1.21071451 
1.14000000 	 3.64001633 	 1.21590741 
1.14500000 	 3.65462135 	 1.22110030 
1.15000000 	 3.66890182 	 1.22564409 
1.15500000 	 3.68415595 	 1.23083698 
1.16000000 	 3.69908553 	 1.23635444 
1.16500000 	 3.71466422 	 1.24089822 
1.17000000 	 3.72959380 	 1.24674023 
1.17500000 	 3.74290059 	 1.25128401 
1.18000000 	 3.76042662 	 1.25582780 
1.18500000 	 3.77373341 	 1.26166981 
1.19000000 	 3.78898755 	 1.26588903 
1.19500000 	 3.80391712 	 1.27075737 
1.20000000 	 3.82014493 	 1.27659938 
1.20500000 	 3.83539906 	 1.28211683 
1.21000000 	 3.84903041 	 1.28666062 
1.21500000 	 3.86395999 	 1.29120440 
1.22000000 	 3.87953868 	 1.29509908 
1.22500000 	 3.89479281 	 1.30094108 
1.23000000 	 3.90972239 	 1.30710765 
1.23500000 	 3.92302919 	 1.31067776 
1.24000000 	 3.93990610 	 1.31554610 
1.24500000 	 3.95451112 	 1.32171267 
1.25000000 	 3.96846703 	 1.32690557 
1.25500000 	 3.98404572 	 1.33112479 
1.26000000 	 3.99865074 	 1.33729136 
1.26500000 	 4.01455398 	 1.34215970 
1.27000000 	 4.02915900 	 1.34540526 
1.27500000 	 4.04376403 	 1.35124727 
1.28000000 	 4.05966727 	 1.35676472 
1.28500000 	 4.07459685 	 1.36130850 
1.29000000 	 4.08920187 	 1.36585229 
1.29500000 	 4.10510511 	 1.37136974 
1.30000000 	 4.11971013 	 1.37591352 
1.30500000 	 4.13366604 	 1.38078187 
1.31000000 	 4.14924473 	 1.38629932 
1.31500000 	 4.16417431 	 1.39149221 
1.32000000 	 4.17942844 	 1.39603600 
1.32500000 	 4.19468258 	 1.40122889 
1.33000000 	 4.20928760 	 1.40642179 
1.33500000 	 4.22454173 	 1.41096558 
1.34000000 	 4.23914675 	 1.41583392 
1.34500000 	 4.25505000 	 1.42135137 
1.35000000 	 4.27062868 	 1.42589515 
1.35500000 	 4.28490915 	 1.43141260 
1.36000000 	 4.29918961 	 1.43628094 
1.36500000 	 4.31444375 	 1.44082473 
1.37000000 	 4.32937332 	 1.44634218 
1.37500000 	 4.34462746 	 1.45121052 
1.38000000 	 4.36020615 	 1.45672797 
1.38500000 	 4.37383750 	 1.46159631 
1.39000000 	 4.38811796 	 1.46678921 
1.39500000 	 4.40239843 	 1.47133300 
1.40000000 	 4.42024901 	 1.47587678 
1.40500000 	 4.43452948 	 1.48074512 
1.41000000 	 4.44945905 	 1.48658713 
1.41500000 	 4.46309041 	 1.49210458 
1.42000000 	 4.47899365 	 1.49664836 
1.42500000 	 4.49457234 	 1.50216582 
1.43000000 	 4.50917736 	 1.50703416 
1.43500000 	 4.52410694 	 1.51125339 
1.44000000 	 4.53806285 	 1.51579717 
1.44500000 	 4.55429065 	 1.52131462 
1.45000000 	 4.56986934 	 1.52748119 
1.45500000 	 4.58317613 	 1.53072675 
1.46000000 	 4.59745660 	 1.53656876 
1.46500000 	 4.61303529 	 1.54143710 
1.47000000 	 4.62796486 	 1.54630544 
1.47500000 	 4.64192077 	 1.55182289 
1.48000000 	 4.65782402 	 1.55669123 
1.48500000 	 4.67437638 	 1.56058590 
1.49000000 	 4.68898140 	 1.56675247 
1.49500000 	 4.70326186 	 1.57129625 
1.50000000 	 4.71884055 	 1.57551548 
1.50500000 	 4.73409468 	 1.58168204 
1.51000000 	 4.74902426 	 1.58719950 
1.51500000 	 4.76395384 	 1.59239239 
1.52000000 	 4.77790975 	 1.59628706 
1.52500000 	 4.79413755 	 1.60212907 
1.53000000 	 4.80711979 	 1.60634830 
1.53500000 	 4.82464581 	 1.61154120 
1.54000000 	 4.83957539 	 1.61640954 
1.54500000 	 4.85450497 	 1.62095332 
1.55000000 	 4.86943455 	 1.62711989 
1.55500000 	 4.88566235 	 1.63133911 
1.56000000 	 4.89799547 	 1.63653201 
1.56500000 	 4.91454783 	 1.64107579 
1.57000000 	 4.92753007 	 1.64691780 
1.57500000 	 4.94278421 	 1.65146159 
1.58000000 	 4.95868745 	 1.65632993 
1.58500000 	 4.97231880 	 1.66152282 
1.59000000 	 4.98919572 	 1.66671572 
1.59500000 	 5.00380074 	 1.67158406 
1.60000000 	 5.01678298 	 1.67775063 
1.60500000 	 5.03365989 	 1.68099619 
1.61000000 	 5.04826491 	 1.68716275 
1.61500000 	 5.06416816 	 1.69138198 
1.62000000 	 5.07779951 	 1.69657487 
1.62500000 	 5.09337820 	 1.70111866 
1.63000000 	 5.11025511 	 1.70696067 
1.63500000 	 5.12388647 	 1.71117990 
1.64000000 	 5.13784238 	 1.71637279 
1.64500000 	 5.15439473 	 1.72156569 
1.65000000 	 5.16867520 	 1.72675858 
1.65500000 	 5.18392933 	 1.73227604 
1.66000000 	 5.19885891 	 1.73681982 
1.66500000 	 5.21378848 	 1.74168816 
1.67000000 	 5.22839351 	 1.74720561 
1.67500000 	 5.24397219 	 1.75207395 
1.68000000 	 5.25857722 	 1.75661774 
1.68500000 	 5.27480502 	 1.76148608 
1.69000000 	 5.28843637 	 1.76667898 
1.69500000 	 5.30271683 	 1.77187187 
1.70000000 	 5.31862008 	 1.77771388 
1.70500000 	 5.33322510 	 1.78225766 
1.71000000 	 5.34847923 	 1.78680145 
1.71500000 	 5.36373337 	 1.79199434 
1.72000000 	 5.37898750 	 1.79751180 
1.72500000 	 5.39359252 	 1.80173103 
1.73000000 	 5.40982032 	 1.80595025 
1.73500000 	 5.42410079 	 1.81179226 
1.74000000 	 5.43903036 	 1.81568693 
1.74500000 	 5.45298627 	 1.82185350 
1.75000000 	 5.46791585 	 1.82607273 
1.75500000 	 5.48349454 	 1.83223929 
1.76000000 	 5.49939778 	 1.83678308 
1.76500000 	 5.51270458 	 1.84132686 
1.77000000 	 5.52730960 	 1.84587064 
