time (s) 	 Temperature (C) 
0.508000 	 26.676768 
0.509000 	 26.676768 
0.510000 	 26.676768 
0.511000 	 26.676768 
0.512000 	 26.676768 
0.513000 	 26.676768 
0.514000 	 26.676768 
0.515000 	 26.676768 
0.516000 	 26.676768 
0.517000 	 26.676768 
0.518000 	 26.676768 
0.519000 	 27.654032 
0.520000 	 26.676768 
0.521000 	 26.676768 
0.522000 	 26.676768 
0.523000 	 26.676768 
0.524000 	 27.654032 
0.525000 	 26.676768 
0.526000 	 26.676768 
0.527000 	 26.676768 
0.528000 	 26.676768 
0.529000 	 26.676768 
0.530000 	 26.676768 
0.531000 	 27.654032 
0.532000 	 26.676768 
0.533000 	 26.676768 
0.534000 	 27.654032 
0.535000 	 26.676768 
0.536000 	 26.676768 
0.537000 	 26.676768 
0.538000 	 26.676768 
0.539000 	 26.676768 
0.540000 	 26.676768 
0.541000 	 26.676768 
0.542000 	 26.676768 
0.543000 	 26.676768 
0.544000 	 27.654032 
0.545000 	 27.654032 
0.546000 	 26.676768 
0.547000 	 26.676768 
0.548000 	 27.654032 
0.549000 	 26.676768 
0.550000 	 26.676768 
0.551000 	 26.676768 
0.552000 	 26.676768 
0.553000 	 26.676768 
0.554000 	 26.676768 
0.555000 	 26.676768 
0.556000 	 26.676768 
0.557000 	 26.676768 
0.558000 	 26.676768 
0.559000 	 26.676768 
0.560000 	 26.676768 
0.561000 	 26.676768 
0.562000 	 26.676768 
0.563000 	 26.676768 
0.564000 	 26.676768 
0.565000 	 26.676768 
0.566000 	 26.676768 
0.567000 	 26.676768 
0.568000 	 26.676768 
0.569000 	 26.676768 
0.570000 	 26.676768 
0.571000 	 26.676768 
0.572000 	 26.676768 
0.573000 	 26.676768 
0.574000 	 26.676768 
0.575000 	 26.676768 
0.576000 	 26.676768 
0.577000 	 26.676768 
0.578000 	 27.654032 
0.579000 	 26.676768 
0.580000 	 26.676768 
0.581000 	 26.676768 
0.582000 	 26.676768 
0.583000 	 26.676768 
0.584000 	 26.676768 
0.585000 	 26.676768 
0.586000 	 26.676768 
0.587000 	 26.676768 
0.588000 	 27.654032 
0.589000 	 26.676768 
0.590000 	 26.676768 
0.591000 	 26.676768 
