time (s) 	 Voltage output 	 Flowrate (scfm) 
1.850000 	 3.419299 	 6.206704 
1.855000 	 3.409114 	 6.177151 
1.860000 	 3.398930 	 6.147456 
1.865000 	 3.398930 	 6.147456 
1.870000 	 3.409114 	 6.177151 
1.875000 	 3.398930 	 6.147456 
1.880000 	 3.398930 	 6.147456 
1.885000 	 3.388745 	 6.117616 
1.890000 	 3.419299 	 6.206704 
1.895000 	 3.419299 	 6.206704 
1.900000 	 3.409114 	 6.177151 
1.905000 	 3.409114 	 6.177151 
1.910000 	 3.409114 	 6.177151 
1.915000 	 3.419299 	 6.206704 
1.920000 	 3.409114 	 6.177151 
1.925000 	 3.409114 	 6.177151 
1.930000 	 3.419299 	 6.206704 
1.935000 	 3.409114 	 6.177151 
1.940000 	 3.409114 	 6.177151 
1.945000 	 3.409114 	 6.177151 
1.950000 	 3.398930 	 6.147456 
1.955000 	 3.398930 	 6.147456 
1.960000 	 3.398930 	 6.147456 
1.965000 	 3.398930 	 6.147456 
1.970000 	 3.409114 	 6.177151 
1.975000 	 3.419299 	 6.206704 
1.980000 	 3.409114 	 6.177151 
1.985000 	 3.398930 	 6.147456 
1.990000 	 3.398930 	 6.147456 
1.995000 	 3.409114 	 6.177151 
2.000000 	 3.409114 	 6.177151 
2.005000 	 3.388745 	 6.117616 
2.010000 	 3.409114 	 6.177151 
2.015000 	 3.398930 	 6.147456 
2.020000 	 3.398930 	 6.147456 
2.025000 	 3.398930 	 6.147456 
2.030000 	 3.398930 	 6.147456 
2.035000 	 3.409114 	 6.177151 
2.040000 	 3.398930 	 6.147456 
2.045000 	 3.409114 	 6.177151 
2.050000 	 3.398930 	 6.147456 
2.055000 	 3.409114 	 6.177151 
2.060000 	 3.409114 	 6.177151 
2.065000 	 3.398930 	 6.147456 
2.070000 	 3.398930 	 6.147456 
2.075000 	 3.398930 	 6.147456 
2.080000 	 3.409114 	 6.177151 
2.085000 	 3.419299 	 6.206704 
2.090000 	 3.398930 	 6.147456 
2.095000 	 3.398930 	 6.147456 
2.100000 	 3.398930 	 6.147456 
2.105000 	 3.398930 	 6.147456 
2.110000 	 3.419299 	 6.206704 
2.115000 	 3.398930 	 6.147456 
2.120000 	 3.409114 	 6.177151 
2.125000 	 3.409114 	 6.177151 
2.130000 	 3.398930 	 6.147456 
2.135000 	 3.409114 	 6.177151 
2.140000 	 3.419299 	 6.206704 
2.145000 	 3.398930 	 6.147456 
2.150000 	 3.409114 	 6.177151 
2.155000 	 3.388745 	 6.117616 
2.160000 	 3.398930 	 6.147456 
2.165000 	 3.398930 	 6.147456 
2.170000 	 3.398930 	 6.147456 
2.175000 	 3.409114 	 6.177151 
2.180000 	 3.409114 	 6.177151 
2.185000 	 3.398930 	 6.147456 
2.190000 	 3.398930 	 6.147456 
2.195000 	 3.409114 	 6.177151 
2.200000 	 3.398930 	 6.147456 
2.205000 	 3.398930 	 6.147456 
2.210000 	 3.419299 	 6.206704 
2.215000 	 3.409114 	 6.177151 
2.220000 	 3.388745 	 6.117616 
2.225000 	 3.398930 	 6.147456 
2.230000 	 3.398930 	 6.147456 
2.235000 	 3.398930 	 6.147456 
2.240000 	 3.398930 	 6.147456 
2.245000 	 3.398930 	 6.147456 
2.250000 	 3.398930 	 6.147456 
2.255000 	 3.398930 	 6.147456 
2.260000 	 3.419299 	 6.206704 
2.265000 	 3.409114 	 6.177151 
2.270000 	 3.409114 	 6.177151 
2.275000 	 3.398930 	 6.147456 
2.280000 	 3.409114 	 6.177151 
2.285000 	 3.409114 	 6.177151 
2.290000 	 3.398930 	 6.147456 
2.295000 	 3.398930 	 6.147456 
2.300000 	 3.398930 	 6.147456 
2.305000 	 3.409114 	 6.177151 
2.310000 	 3.419299 	 6.206704 
2.315000 	 3.409114 	 6.177151 
2.320000 	 3.409114 	 6.177151 
2.325000 	 3.398930 	 6.147456 
2.330000 	 3.409114 	 6.177151 
2.335000 	 3.409114 	 6.177151 
2.340000 	 3.409114 	 6.177151 
2.345000 	 3.409114 	 6.177151 
2.350000 	 3.409114 	 6.177151 
2.355000 	 3.409114 	 6.177151 
2.360000 	 3.398930 	 6.147456 
2.365000 	 3.398930 	 6.147456 
2.370000 	 3.398930 	 6.147456 
2.375000 	 3.398930 	 6.147456 
2.380000 	 3.398930 	 6.147456 
