time (s) 	 Voltage output 	 Flowrate (scfm) 
0.281000 	 2.349908 	 0.187199 
0.282000 	 2.349908 	 0.187199 
0.283000 	 2.360093 	 0.600377 
0.284000 	 2.360093 	 0.600377 
0.285000 	 2.360093 	 0.600377 
0.286000 	 2.360093 	 0.600377 
0.287000 	 2.349908 	 0.187199 
0.288000 	 2.360093 	 0.600377 
0.289000 	 2.349908 	 0.187199 
0.290000 	 2.349908 	 0.187199 
0.291000 	 2.349908 	 0.187199 
0.292000 	 2.349908 	 0.187199 
0.293000 	 2.360093 	 0.600377 
0.294000 	 2.360093 	 0.600377 
0.295000 	 2.349908 	 0.187199 
0.296000 	 2.349908 	 0.187199 
0.297000 	 2.349908 	 0.187199 
0.298000 	 2.360093 	 0.600377 
0.299000 	 2.349908 	 0.187199 
0.300000 	 2.360093 	 0.600377 
0.301000 	 2.360093 	 0.600377 
0.302000 	 2.349908 	 0.187199 
0.303000 	 2.349908 	 0.187199 
0.304000 	 2.360093 	 0.600377 
0.305000 	 2.349908 	 0.187199 
0.306000 	 2.349908 	 0.187199 
0.307000 	 2.349908 	 0.187199 
0.308000 	 2.360093 	 0.600377 
0.309000 	 2.360093 	 0.600377 
0.310000 	 2.360093 	 0.600377 
0.311000 	 2.349908 	 0.187199 
0.312000 	 2.360093 	 0.600377 
0.313000 	 2.349908 	 0.187199 
0.314000 	 2.349908 	 0.187199 
0.315000 	 2.360093 	 0.600377 
0.316000 	 2.349908 	 0.187199 
0.317000 	 2.360093 	 0.600377 
0.318000 	 2.349908 	 0.187199 
0.319000 	 2.349908 	 0.187199 
0.320000 	 2.349908 	 0.187199 
0.321000 	 2.349908 	 0.187199 
0.322000 	 2.360093 	 0.600377 
0.323000 	 2.349908 	 0.187199 
0.324000 	 2.349908 	 0.187199 
0.325000 	 2.360093 	 0.600377 
0.326000 	 2.349908 	 0.187199 
0.327000 	 2.349908 	 0.187199 
0.328000 	 2.349908 	 0.187199 
0.329000 	 2.349908 	 0.187199 
0.330000 	 2.360093 	 0.600377 
0.331000 	 2.360093 	 0.600377 
0.332000 	 2.349908 	 0.187199 
0.333000 	 2.349908 	 0.187199 
0.334000 	 2.349908 	 0.187199 
0.335000 	 2.349908 	 0.187199 
0.336000 	 2.349908 	 0.187199 
0.337000 	 2.349908 	 0.187199 
0.338000 	 2.360093 	 0.600377 
0.339000 	 2.349908 	 0.187199 
0.340000 	 2.360093 	 0.600377 
0.341000 	 2.349908 	 0.187199 
0.342000 	 2.360093 	 0.600377 
0.343000 	 2.360093 	 0.600377 
0.344000 	 2.349908 	 0.187199 
0.345000 	 2.360093 	 0.600377 
0.346000 	 2.349908 	 0.187199 
0.347000 	 2.360093 	 0.600377 
0.348000 	 2.360093 	 0.600377 
0.349000 	 2.360093 	 0.600377 
0.350000 	 2.349908 	 0.187199 
0.351000 	 2.349908 	 0.187199 
0.352000 	 2.349908 	 0.187199 
0.353000 	 2.349908 	 0.187199 
0.354000 	 2.349908 	 0.187199 
0.355000 	 2.349908 	 0.187199 
0.356000 	 2.349908 	 0.187199 
0.357000 	 2.349908 	 0.187199 
0.358000 	 2.360093 	 0.600377 
0.359000 	 2.349908 	 0.187199 
0.360000 	 2.349908 	 0.187199 
0.361000 	 2.349908 	 0.187199 
0.362000 	 2.349908 	 0.187199 
0.363000 	 2.349908 	 0.187199 
0.364000 	 2.360093 	 0.600377 
0.365000 	 2.360093 	 0.600377 
0.366000 	 2.360093 	 0.600377 
0.367000 	 2.349908 	 0.187199 
0.368000 	 2.349908 	 0.187199 
0.369000 	 2.349908 	 0.187199 
0.370000 	 2.360093 	 0.600377 
0.371000 	 2.349908 	 0.187199 
0.372000 	 2.349908 	 0.187199 
0.373000 	 2.349908 	 0.187199 
0.374000 	 2.349908 	 0.187199 
0.375000 	 2.349908 	 0.187199 
0.376000 	 2.349908 	 0.187199 
0.377000 	 2.360093 	 0.600377 
0.378000 	 2.349908 	 0.187199 
0.379000 	 2.360093 	 0.600377 
0.380000 	 2.349908 	 0.187199 
0.381000 	 2.349908 	 0.187199 
0.382000 	 2.349908 	 0.187199 
0.383000 	 2.349908 	 0.187199 
0.384000 	 2.349908 	 0.187199 
0.385000 	 2.360093 	 0.600377 
0.386000 	 2.360093 	 0.600377 
0.387000 	 2.349908 	 0.187199 
0.388000 	 2.349908 	 0.187199 
0.389000 	 2.349908 	 0.187199 
0.390000 	 2.349908 	 0.187199 
0.391000 	 2.360093 	 0.600377 
0.392000 	 2.360093 	 0.600377 
0.393000 	 2.360093 	 0.600377 
0.394000 	 2.349908 	 0.187199 
0.395000 	 2.360093 	 0.600377 
0.396000 	 2.360093 	 0.600377 
0.397000 	 2.349908 	 0.187199 
