time (s) 	 Flowrate (scfm) 
0.379000 	 2.553223 
0.380000 	 2.551936 
0.381000 	 2.553223 
0.382000 	 2.553223 
0.383000 	 2.553223 
0.384000 	 2.553223 
0.385000 	 2.553223 
0.386000 	 2.553223 
0.387000 	 2.553223 
0.388000 	 2.553223 
0.389000 	 2.553223 
0.390000 	 2.553223 
0.391000 	 2.553223 
0.392000 	 2.553223 
0.393000 	 2.553223 
0.394000 	 2.553223 
0.395000 	 2.553223 
0.396000 	 2.553223 
0.397000 	 2.551936 
0.398000 	 2.553223 
0.399000 	 2.553223 
0.400000 	 2.553223 
0.401000 	 2.553223 
0.402000 	 2.551936 
0.403000 	 2.553223 
0.404000 	 2.553223 
0.405000 	 2.553223 
0.406000 	 2.553223 
0.407000 	 2.551936 
0.408000 	 2.553223 
0.409000 	 2.553223 
0.410000 	 2.553223 
0.411000 	 2.553223 
0.412000 	 2.553223 
0.413000 	 2.553223 
0.414000 	 2.553223 
0.415000 	 2.551936 
0.416000 	 2.553223 
0.417000 	 2.553223 
0.418000 	 2.553223 
0.419000 	 2.551936 
0.420000 	 2.553223 
0.421000 	 2.553223 
0.422000 	 2.553223 
0.423000 	 2.553223 
0.424000 	 2.551936 
0.425000 	 2.551936 
0.426000 	 2.553223 
0.427000 	 2.553223 
0.428000 	 2.553223 
0.429000 	 2.553223 
0.430000 	 2.553223 
0.431000 	 2.553223 
0.432000 	 2.553223 
0.433000 	 2.553223 
0.434000 	 2.551936 
0.435000 	 2.553223 
0.436000 	 2.551936 
0.437000 	 2.553223 
0.438000 	 2.553223 
0.439000 	 2.553223 
0.440000 	 2.551936 
0.441000 	 2.551936 
0.442000 	 2.553223 
0.443000 	 2.553223 
0.444000 	 2.553223 
0.445000 	 2.553223 
0.446000 	 2.553223 
0.447000 	 2.551936 
0.448000 	 2.553223 
0.449000 	 2.553223 
0.450000 	 2.553223 
0.451000 	 2.553223 
0.452000 	 2.553223 
0.453000 	 2.553223 
0.454000 	 2.551936 
0.455000 	 2.553223 
0.456000 	 2.553223 
0.457000 	 2.553223 
0.458000 	 2.553223 
0.459000 	 2.553223 
0.460000 	 2.551936 
0.461000 	 2.553223 
0.462000 	 2.553223 
0.463000 	 2.553223 
0.464000 	 2.553223 
0.465000 	 2.553223 
0.466000 	 2.553223 
0.467000 	 2.553223 
0.468000 	 2.553223 
0.469000 	 2.553223 
0.470000 	 2.553223 
0.471000 	 2.553223 
0.472000 	 2.553223 
0.473000 	 2.553223 
0.474000 	 2.553223 
0.475000 	 2.551936 
0.476000 	 2.553223 
0.477000 	 2.553223 
0.478000 	 2.553223 
0.479000 	 2.553223 
0.480000 	 2.553223 
0.481000 	 2.553223 
0.482000 	 2.554510 
0.483000 	 2.554510 
0.484000 	 2.553223 
0.485000 	 2.553223 
0.486000 	 2.553223 
0.487000 	 2.553223 
0.488000 	 2.553223 
0.489000 	 2.553223 
0.490000 	 2.551936 
0.491000 	 2.553223 
0.492000 	 2.553223 
0.493000 	 2.553223 
0.494000 	 2.553223 
0.495000 	 2.553223 
0.496000 	 2.553223 
0.497000 	 2.553223 
0.498000 	 2.553223 
0.499000 	 2.553223 
0.500000 	 2.553223 
0.501000 	 2.553223 
0.502000 	 2.553223 
0.503000 	 2.553223 
0.504000 	 2.553223 
0.505000 	 2.553223 
0.506000 	 2.553223 
0.507000 	 2.553223 
0.508000 	 2.551936 
0.509000 	 2.553223 
0.510000 	 2.551936 
0.511000 	 2.553223 
0.512000 	 2.551936 
0.513000 	 2.553223 
0.514000 	 2.553223 
0.515000 	 2.553223 
0.516000 	 2.553223 
0.517000 	 2.553223 
0.518000 	 2.553223 
0.519000 	 2.553223 
0.520000 	 2.553223 
0.521000 	 2.553223 
0.522000 	 2.553223 
0.523000 	 2.551936 
0.524000 	 2.553223 
0.525000 	 2.551936 
0.526000 	 2.553223 
0.527000 	 2.553223 
0.528000 	 2.553223 
0.529000 	 2.551936 
0.530000 	 2.551936 
0.531000 	 2.553223 
0.532000 	 2.553223 
0.533000 	 2.553223 
0.534000 	 2.553223 
0.535000 	 2.553223 
0.536000 	 2.553223 
0.537000 	 2.553223 
0.538000 	 2.553223 
0.539000 	 2.551936 
0.540000 	 2.553223 
0.541000 	 2.553223 
0.542000 	 2.553223 
0.543000 	 2.553223 
0.544000 	 2.551936 
0.545000 	 2.553223 
0.546000 	 2.553223 
0.547000 	 2.553223 
0.548000 	 2.553223 
0.549000 	 2.551936 
0.550000 	 2.553223 
0.551000 	 2.553223 
0.552000 	 2.553223 
0.553000 	 2.551936 
0.554000 	 2.553223 
0.555000 	 2.551936 
0.556000 	 2.553223 
0.557000 	 2.551936 
0.558000 	 2.553223 
0.559000 	 2.553223 
0.560000 	 2.553223 
0.561000 	 2.551936 
0.562000 	 2.553223 
0.563000 	 2.553223 
0.564000 	 2.553223 
0.565000 	 2.553223 
0.566000 	 2.553223 
0.567000 	 2.553223 
0.568000 	 2.553223 
0.569000 	 2.553223 
0.570000 	 2.553223 
0.571000 	 2.551936 
0.572000 	 2.553223 
0.573000 	 2.553223 
0.574000 	 2.553223 
0.575000 	 2.553223 
0.576000 	 2.553223 
0.577000 	 2.553223 
0.578000 	 2.553223 
0.579000 	 2.553223 
0.580000 	 2.551936 
0.581000 	 2.553223 
0.582000 	 2.553223 
0.583000 	 2.553223 
0.584000 	 2.553223 
0.585000 	 2.553223 
0.586000 	 2.553223 
0.587000 	 2.553223 
0.588000 	 2.553223 
0.589000 	 2.553223 
0.590000 	 2.553223 
0.591000 	 2.553223 
0.592000 	 2.553223 
0.593000 	 2.553223 
0.594000 	 2.551936 
0.595000 	 2.553223 
0.596000 	 2.553223 
0.597000 	 2.553223 
0.598000 	 2.553223 
0.599000 	 2.551936 
0.600000 	 2.553223 
0.601000 	 2.553223 
0.602000 	 2.553223 
0.603000 	 2.553223 
0.604000 	 2.553223 
