Times (s),Voltage (Volts)
0.289000,94.207842,0.254645 
0.290000,94.161428,0.131364 
0.291000,94.161428,0.193005 
0.292000,94.115015,0.100544 
0.293000,94.138221,0.162184 
0.294000,94.231049,0.193005 
0.295000,94.138221,0.177594 
0.296000,94.161428,0.193005 
0.297000,94.184635,0.347106 
0.298000,94.161428,0.316286 
0.299000,94.161428,0.270055 
0.300000,94.207842,0.177594 
0.301000,94.161428,0.100544 
0.302000,94.207842,0.193005 
0.303000,94.207842,0.208415 
0.304000,94.138221,0.208415 
0.305000,94.161428,0.254645 
0.306000,94.184635,0.131364 
0.307000,94.161428,0.100544 
0.308000,94.207842,0.208415 
0.309000,94.091808,0.223825 
0.310000,94.207842,0.131364 
0.311000,94.207842,0.316286 
0.312000,94.207842,0.223825 
0.313000,94.161428,0.254645 
0.314000,94.161428,0.300876 
0.315000,94.115015,0.254645 
0.316000,94.161428,0.193005 
0.317000,94.231049,0.239235 
0.318000,94.231049,0.239235 
0.319000,94.161428,0.254645 
0.320000,94.207842,0.254645 
0.321000,94.231049,0.223825 
0.322000,94.254256,0.254645 
0.323000,94.207842,0.331696 
0.324000,94.161428,0.223825 
0.325000,94.254256,0.208415 
0.326000,94.231049,0.239235 
0.327000,94.300670,0.285465 
0.328000,94.277463,0.254645 
0.329000,94.184635,0.254645 
0.330000,94.161428,0.285465 
0.331000,94.231049,0.223825 
0.332000,94.207842,0.254645 
0.333000,94.231049,0.223825 
0.334000,94.254256,0.177594 
0.335000,94.207842,0.223825 
0.336000,94.184635,0.177594 
0.337000,94.231049,0.270055 
0.338000,94.231049,0.131364 
0.339000,94.231049,0.162184 
0.340000,94.277463,0.285465 
0.341000,94.323876,0.193005 
0.342000,94.207842,0.131364 
0.343000,94.347083,0.115954 
0.344000,94.277463,0.193005 
0.345000,94.277463,0.300876 
0.346000,94.277463,0.285465 
0.347000,94.207842,0.115954 
0.348000,94.254256,0.285465 
0.349000,94.231049,0.162184 
0.350000,94.254256,0.285465 
0.351000,94.370290,0.347106 
0.352000,94.231049,0.362516 
0.353000,94.323876,0.239235 
0.354000,94.277463,0.254645 
0.355000,94.231049,0.223825 
0.356000,94.254256,0.223825 
0.357000,94.323876,0.115954 
0.358000,94.300670,0.177594 
0.359000,94.300670,0.177594 
0.360000,94.184635,0.069723 
0.361000,94.277463,0.239235 
0.362000,94.370290,0.223825 
0.363000,94.300670,0.223825 
0.364000,94.254256,0.115954 
0.365000,94.254256,0.162184 
0.366000,94.254256,0.177594 
0.367000,94.300670,0.285465 
0.368000,94.347083,0.254645 
0.369000,94.323876,0.177594 
0.370000,94.323876,0.254645 
0.371000,94.277463,0.239235 
0.372000,94.277463,0.193005 
0.373000,94.347083,0.239235 
0.374000,94.370290,0.208415 
0.375000,94.300670,0.270055 
0.376000,94.277463,0.223825 
0.377000,94.347083,0.270055 
0.378000,94.347083,0.300876 
0.379000,94.347083,0.193005 
0.380000,94.323876,0.193005 
0.381000,94.323876,0.208415 
0.382000,94.277463,0.270055 
0.383000,94.370290,0.162184 
0.384000,94.393497,0.193005 
0.385000,94.393497,0.270055 
0.386000,94.370290,0.254645 
0.387000,94.370290,0.223825 
0.388000,94.347083,0.177594 
0.389000,94.370290,0.146774 
0.390000,94.347083,0.162184 
0.391000,94.300670,0.162184 
0.392000,94.277463,0.300876 
0.393000,94.231049,0.239235 
0.394000,94.231049,0.270055 
0.395000,94.207842,0.254645 
0.396000,94.254256,0.362516 
0.397000,94.231049,0.146774 
0.398000,94.231049,0.239235 
0.399000,94.254256,0.162184 
0.400000,94.184635,0.270055 
0.401000,94.300670,0.208415 
0.402000,94.254256,0.408747 
0.403000,94.393497,0.300876 
