time (s) 	 Voltage output 	 Flowrate (scfm) 
3.090000 	 2.508364 	 2.508364 
3.100000 	 2.508364 	 2.508364 
3.110000 	 2.508364 	 2.508364 
3.120000 	 2.508364 	 2.508364 
3.130000 	 2.508364 	 2.508364 
3.140000 	 2.508364 	 2.508364 
3.150000 	 2.508364 	 2.508364 
3.160000 	 2.508364 	 2.508364 
3.170000 	 2.508364 	 2.508364 
3.180000 	 2.508364 	 2.508364 
3.190000 	 2.508364 	 2.508364 
3.200000 	 2.508364 	 2.508364 
3.210000 	 2.508364 	 2.508364 
3.220000 	 2.508364 	 2.508364 
3.230000 	 2.508364 	 2.508364 
3.240000 	 2.508364 	 2.508364 
3.250000 	 2.508364 	 2.508364 
3.260000 	 2.507077 	 2.507077 
3.270000 	 2.508364 	 2.508364 
3.280000 	 2.508364 	 2.508364 
3.290000 	 2.508364 	 2.508364 
3.300000 	 2.508364 	 2.508364 
3.310000 	 2.508364 	 2.508364 
3.320000 	 2.508364 	 2.508364 
3.330000 	 2.507077 	 2.507077 
3.340000 	 2.508364 	 2.508364 
3.350000 	 2.508364 	 2.508364 
3.360000 	 2.508364 	 2.508364 
3.370000 	 2.509651 	 2.509651 
3.380000 	 2.508364 	 2.508364 
3.390000 	 2.508364 	 2.508364 
3.400000 	 2.508364 	 2.508364 
3.410000 	 2.508364 	 2.508364 
3.420000 	 2.508364 	 2.508364 
3.430000 	 2.508364 	 2.508364 
3.440000 	 2.509651 	 2.509651 
3.450000 	 2.508364 	 2.508364 
3.460000 	 2.508364 	 2.508364 
3.470000 	 2.508364 	 2.508364 
3.480000 	 2.508364 	 2.508364 
3.490000 	 2.508364 	 2.508364 
3.500000 	 2.508364 	 2.508364 
3.510000 	 2.508364 	 2.508364 
3.520000 	 2.508364 	 2.508364 
3.530000 	 2.508364 	 2.508364 
3.540000 	 2.508364 	 2.508364 
3.550000 	 2.508364 	 2.508364 
3.560000 	 2.508364 	 2.508364 
3.570000 	 2.508364 	 2.508364 
3.580000 	 2.508364 	 2.508364 
3.590000 	 2.508364 	 2.508364 
3.600000 	 2.508364 	 2.508364 
3.610000 	 2.508364 	 2.508364 
3.620000 	 2.508364 	 2.508364 
3.630000 	 2.508364 	 2.508364 
3.640000 	 2.508364 	 2.508364 
3.650000 	 2.509651 	 2.509651 
3.660000 	 2.508364 	 2.508364 
3.670000 	 2.508364 	 2.508364 
3.680000 	 2.508364 	 2.508364 
3.690000 	 2.508364 	 2.508364 
3.700000 	 2.508364 	 2.508364 
3.710000 	 2.508364 	 2.508364 
3.720000 	 2.508364 	 2.508364 
3.730000 	 2.508364 	 2.508364 
3.740000 	 2.508364 	 2.508364 
3.750000 	 2.508364 	 2.508364 
3.760000 	 2.508364 	 2.508364 
3.770000 	 2.508364 	 2.508364 
3.780000 	 2.508364 	 2.508364 
3.790000 	 2.508364 	 2.508364 
3.800000 	 2.508364 	 2.508364 
3.810000 	 2.508364 	 2.508364 
3.820000 	 2.508364 	 2.508364 
3.830000 	 2.508364 	 2.508364 
3.840000 	 2.508364 	 2.508364 
3.850000 	 2.508364 	 2.508364 
3.860000 	 2.508364 	 2.508364 
3.870000 	 2.508364 	 2.508364 
3.880000 	 2.508364 	 2.508364 
3.890000 	 2.508364 	 2.508364 
3.900000 	 2.508364 	 2.508364 
3.910000 	 2.509651 	 2.509651 
3.920000 	 2.509651 	 2.509651 
3.930000 	 2.508364 	 2.508364 
3.940000 	 2.508364 	 2.508364 
3.950000 	 2.508364 	 2.508364 
3.960000 	 2.508364 	 2.508364 
3.970000 	 2.508364 	 2.508364 
3.980000 	 2.508364 	 2.508364 
3.990000 	 2.508364 	 2.508364 
4.000000 	 2.509651 	 2.509651 
4.010000 	 2.508364 	 2.508364 
4.020000 	 2.508364 	 2.508364 
4.030000 	 2.508364 	 2.508364 
4.040000 	 2.508364 	 2.508364 
4.050000 	 2.508364 	 2.508364 
4.060000 	 2.508364 	 2.508364 
4.070000 	 2.508364 	 2.508364 
4.080000 	 2.508364 	 2.508364 
4.090000 	 2.508364 	 2.508364 
4.100000 	 2.508364 	 2.508364 
4.110000 	 2.508364 	 2.508364 
4.120000 	 2.508364 	 2.508364 
4.130000 	 2.508364 	 2.508364 
4.140000 	 2.508364 	 2.508364 
4.150000 	 2.508364 	 2.508364 
4.160000 	 2.508364 	 2.508364 
4.170000 	 2.508364 	 2.508364 
4.180000 	 2.508364 	 2.508364 
4.190000 	 2.509651 	 2.509651 
4.200000 	 2.508364 	 2.508364 
4.210000 	 2.508364 	 2.508364 
4.220000 	 2.508364 	 2.508364 
4.230000 	 2.507077 	 2.507077 
4.240000 	 2.508364 	 2.508364 
4.250000 	 2.508364 	 2.508364 
4.260000 	 2.508364 	 2.508364 
4.270000 	 2.508364 	 2.508364 
4.280000 	 2.508364 	 2.508364 
4.290000 	 2.508364 	 2.508364 
4.300000 	 2.508364 	 2.508364 
4.310000 	 2.508364 	 2.508364 
4.320000 	 2.508364 	 2.508364 
