time (s) 	 Flowrate (scfm) 
0.346000 	 20.365050 
0.347000 	 20.617045 
0.348000 	 20.617045 
0.349000 	 20.239052 
0.350000 	 20.239052 
0.351000 	 20.491048 
0.352000 	 20.617045 
0.353000 	 20.365050 
0.354000 	 20.617045 
0.355000 	 20.365050 
0.356000 	 20.617045 
0.357000 	 20.491048 
0.358000 	 20.365050 
0.359000 	 20.365050 
0.360000 	 20.239052 
0.361000 	 20.491048 
0.362000 	 20.365050 
0.363000 	 20.491048 
0.364000 	 20.491048 
0.365000 	 20.491048 
0.366000 	 20.491048 
0.367000 	 20.365050 
0.368000 	 20.491048 
0.369000 	 20.365050 
0.370000 	 20.491048 
0.371000 	 20.365050 
0.372000 	 20.617045 
0.373000 	 20.365050 
0.374000 	 20.113054 
0.375000 	 20.491048 
0.376000 	 20.365050 
0.377000 	 20.113054 
0.378000 	 20.491048 
0.379000 	 20.743043 
0.380000 	 20.491048 
0.381000 	 20.491048 
0.382000 	 20.491048 
0.383000 	 20.617045 
0.384000 	 19.987057 
0.385000 	 20.617045 
0.386000 	 20.617045 
0.387000 	 20.491048 
0.388000 	 20.491048 
0.389000 	 20.365050 
0.390000 	 20.365050 
0.391000 	 20.365050 
0.392000 	 20.491048 
0.393000 	 20.365050 
0.394000 	 20.365050 
0.395000 	 20.617045 
0.396000 	 20.617045 
0.397000 	 20.617045 
0.398000 	 20.491048 
0.399000 	 20.365050 
0.400000 	 20.365050 
0.401000 	 20.365050 
0.402000 	 20.491048 
0.403000 	 20.491048 
0.404000 	 20.365050 
0.405000 	 20.491048 
0.406000 	 20.491048 
0.407000 	 20.365050 
0.408000 	 20.239052 
0.409000 	 20.491048 
0.410000 	 20.113054 
0.411000 	 20.113054 
0.412000 	 20.365050 
0.413000 	 20.491048 
0.414000 	 20.365050 
0.415000 	 20.617045 
0.416000 	 20.365050 
0.417000 	 20.491048 
0.418000 	 20.617045 
0.419000 	 20.491048 
0.420000 	 20.365050 
0.421000 	 20.365050 
0.422000 	 20.365050 
0.423000 	 20.365050 
0.424000 	 20.239052 
0.425000 	 20.365050 
0.426000 	 20.365050 
0.427000 	 20.365050 
0.428000 	 20.491048 
0.429000 	 20.491048 
0.430000 	 20.491048 
0.431000 	 20.617045 
0.432000 	 20.365050 
0.433000 	 20.239052 
0.434000 	 20.239052 
0.435000 	 20.491048 
0.436000 	 20.491048 
0.437000 	 20.491048 
0.438000 	 20.491048 
0.439000 	 20.491048 
0.440000 	 20.491048 
0.441000 	 20.491048 
0.442000 	 20.491048 
0.443000 	 20.113054 
0.444000 	 20.491048 
