time (s) 	 Temperature (C) 
0.640000 	 36.202900 
0.641000 	 36.329807 
0.642000 	 36.171173 
0.643000 	 36.234626 
0.644000 	 35.949086 
0.645000 	 36.298080 
0.646000 	 36.075993 
0.647000 	 36.234626 
0.648000 	 36.139446 
0.649000 	 36.139446 
0.650000 	 36.075993 
0.651000 	 36.329807 
0.652000 	 36.298080 
0.653000 	 36.171173 
0.654000 	 36.012539 
0.655000 	 36.107719 
0.656000 	 35.949086 
0.657000 	 36.234626 
0.658000 	 36.139446 
0.659000 	 36.107719 
0.660000 	 36.171173 
0.661000 	 36.298080 
0.662000 	 36.361533 
0.663000 	 36.139446 
0.664000 	 36.361533 
0.665000 	 36.171173 
0.666000 	 36.107719 
0.667000 	 36.171173 
0.668000 	 36.107719 
0.669000 	 35.949086 
0.670000 	 36.234626 
0.671000 	 36.266353 
0.672000 	 36.234626 
0.673000 	 36.266353 
0.674000 	 36.234626 
0.675000 	 36.075993 
0.676000 	 36.139446 
0.677000 	 36.298080 
0.678000 	 36.234626 
0.679000 	 36.171173 
0.680000 	 36.298080 
0.681000 	 36.329807 
0.682000 	 36.107719 
0.683000 	 36.329807 
0.684000 	 36.234626 
0.685000 	 36.075993 
0.686000 	 36.298080 
0.687000 	 35.980812 
0.688000 	 36.202900 
0.689000 	 36.298080 
0.690000 	 36.298080 
0.691000 	 36.044266 
0.692000 	 36.012539 
0.693000 	 36.171173 
0.694000 	 36.361533 
0.695000 	 36.393260 
0.696000 	 36.139446 
0.697000 	 36.139446 
0.698000 	 36.456714 
0.699000 	 36.012539 
0.700000 	 35.980812 
0.701000 	 36.234626 
0.702000 	 36.298080 
0.703000 	 36.171173 
0.704000 	 36.266353 
0.705000 	 36.234626 
0.706000 	 36.139446 
0.707000 	 36.107719 
0.708000 	 35.949086 
0.709000 	 36.044266 
0.710000 	 36.234626 
0.711000 	 36.139446 
0.712000 	 36.044266 
0.713000 	 36.044266 
0.714000 	 36.266353 
0.715000 	 36.329807 
0.716000 	 36.234626 
0.717000 	 36.329807 
0.718000 	 36.171173 
0.719000 	 36.202900 
0.720000 	 36.171173 
0.721000 	 36.329807 
0.722000 	 36.234626 
0.723000 	 36.171173 
0.724000 	 36.234626 
0.725000 	 36.139446 
0.726000 	 36.266353 
0.727000 	 35.949086 
0.728000 	 36.202900 
0.729000 	 36.329807 
0.730000 	 36.266353 
0.731000 	 36.107719 
0.732000 	 36.044266 
0.733000 	 36.202900 
0.734000 	 36.202900 
0.735000 	 36.139446 
0.736000 	 36.075993 
0.737000 	 36.044266 
0.738000 	 36.139446 
0.739000 	 36.234626 
0.740000 	 36.202900 
0.741000 	 36.361533 
0.742000 	 35.980812 
0.743000 	 36.107719 
0.744000 	 36.171173 
0.745000 	 36.139446 
0.746000 	 36.107719 
0.747000 	 36.266353 
0.748000 	 36.107719 
