time (s) 	 Flowrate (scfm) 
0.410000 	 22.381014 
0.411000 	 22.255017 
0.412000 	 22.255017 
0.413000 	 22.255017 
0.414000 	 22.003021 
0.415000 	 22.003021 
0.416000 	 22.003021 
0.417000 	 22.255017 
0.418000 	 22.129019 
0.419000 	 22.129019 
0.420000 	 22.255017 
0.421000 	 22.507012 
0.422000 	 22.129019 
0.423000 	 22.381014 
0.424000 	 22.129019 
0.425000 	 22.003021 
0.426000 	 22.381014 
0.427000 	 22.255017 
0.428000 	 22.255017 
0.429000 	 22.255017 
0.430000 	 22.255017 
0.431000 	 22.003021 
0.432000 	 22.129019 
0.433000 	 22.255017 
0.434000 	 22.003021 
0.435000 	 22.129019 
0.436000 	 22.129019 
0.437000 	 22.129019 
0.438000 	 22.129019 
0.439000 	 22.255017 
0.440000 	 22.129019 
0.441000 	 22.129019 
0.442000 	 22.129019 
0.443000 	 22.381014 
0.444000 	 22.381014 
0.445000 	 22.381014 
0.446000 	 22.633010 
0.447000 	 22.255017 
0.448000 	 21.877023 
0.449000 	 22.255017 
0.450000 	 22.633010 
0.451000 	 22.129019 
0.452000 	 22.381014 
0.453000 	 22.129019 
0.454000 	 22.759008 
0.455000 	 22.381014 
0.456000 	 22.381014 
0.457000 	 22.255017 
0.458000 	 22.633010 
0.459000 	 22.759008 
0.460000 	 22.381014 
0.461000 	 22.255017 
0.462000 	 22.381014 
0.463000 	 22.507012 
0.464000 	 22.003021 
0.465000 	 22.003021 
0.466000 	 22.003021 
0.467000 	 22.633010 
0.468000 	 22.129019 
0.469000 	 22.255017 
0.470000 	 22.129019 
0.471000 	 22.507012 
0.472000 	 22.255017 
0.473000 	 22.381014 
0.474000 	 22.003021 
0.475000 	 22.129019 
0.476000 	 22.381014 
0.477000 	 22.129019 
0.478000 	 22.129019 
0.479000 	 22.003021 
0.480000 	 22.633010 
0.481000 	 22.381014 
0.482000 	 22.129019 
0.483000 	 22.381014 
0.484000 	 21.877023 
0.485000 	 22.129019 
0.486000 	 22.003021 
0.487000 	 22.381014 
0.488000 	 22.255017 
0.489000 	 22.507012 
0.490000 	 22.129019 
0.491000 	 22.381014 
0.492000 	 22.003021 
0.493000 	 22.633010 
0.494000 	 22.507012 
0.495000 	 22.255017 
0.496000 	 22.255017 
0.497000 	 22.507012 
0.498000 	 22.129019 
0.499000 	 22.129019 
0.500000 	 22.255017 
0.501000 	 22.003021 
0.502000 	 22.381014 
0.503000 	 22.255017 
0.504000 	 22.003021 
0.505000 	 22.381014 
0.506000 	 22.381014 
0.507000 	 22.381014 
0.508000 	 22.003021 
0.509000 	 22.507012 
0.510000 	 22.381014 
0.511000 	 22.129019 
0.512000 	 22.003021 
0.513000 	 22.003021 
0.514000 	 22.255017 
0.515000 	 21.877023 
0.516000 	 22.255017 
0.517000 	 22.129019 
0.518000 	 22.129019 
0.519000 	 22.255017 
0.520000 	 22.255017 
0.521000 	 22.129019 
0.522000 	 22.507012 
0.523000 	 22.129019 
0.524000 	 22.255017 
0.525000 	 22.129019 
0.526000 	 22.507012 
0.527000 	 22.129019 
0.528000 	 22.381014 
0.529000 	 22.129019 
0.530000 	 22.003021 
0.531000 	 22.255017 
0.532000 	 22.381014 
0.533000 	 22.255017 
0.534000 	 22.129019 
0.535000 	 22.003021 
0.536000 	 22.381014 
0.537000 	 22.255017 
0.538000 	 22.507012 
0.539000 	 22.381014 
0.540000 	 22.129019 
0.541000 	 22.003021 
0.542000 	 22.129019 
0.543000 	 22.255017 
0.544000 	 22.255017 
0.545000 	 22.129019 
0.546000 	 22.255017 
0.547000 	 22.255017 
0.548000 	 22.003021 
0.549000 	 22.255017 
0.550000 	 22.003021 
0.551000 	 22.003021 
0.552000 	 22.255017 
0.553000 	 22.003021 
0.554000 	 22.381014 
0.555000 	 22.129019 
0.556000 	 22.507012 
0.557000 	 22.129019 
0.558000 	 22.381014 
0.559000 	 22.381014 
0.560000 	 22.381014 
0.561000 	 22.381014 
0.562000 	 22.381014 
0.563000 	 22.255017 
0.564000 	 22.507012 
0.565000 	 22.003021 
0.566000 	 22.255017 
0.567000 	 22.381014 
0.568000 	 22.129019 
