Times (s),Voltage (Volts)
-9.715726,0.335000 
2.517478,-9.746546 
0.336000,2.494271 
-9.761956,0.337000 
2.587099,-9.900648 
0.338000,2.610306 
-9.854417,0.339000 
2.471065,-9.808187 
0.340000,2.471065 
-9.777367,0.341000 
2.610306,-9.746546 
0.342000,2.447858 
-9.854417,0.343000 
2.494271,-9.731136 
0.344000,2.494271 
-9.761956,0.345000 
2.610306,-9.777367 
0.346000,2.563892 
-9.715726,0.347000 
2.633513,-9.746546 
0.348000,2.401444 
-9.808187,0.349000 
2.703133,-9.792777 
0.350000,2.494271 
-9.808187,0.351000 
2.563892,-9.792777 
0.352000,2.355030 
-9.731136,0.353000 
2.424651,-9.761956 
0.354000,2.494271 
-9.607855,0.355000 
2.471065,-9.731136 
0.356000,2.494271 
-9.746546,0.357000 
2.447858,-9.761956 
0.358000,2.447858 
-9.792777,0.359000 
2.424651,-9.700316 
0.360000,2.471065 
-9.839007,0.361000 
2.424651,-9.869828 
0.362000,2.285410 
-9.746546,0.363000 
2.355030,-9.869828 
0.364000,2.355030 
-9.854417,0.365000 
2.447858,-9.731136 
0.366000,2.494271 
-9.684906,0.367000 
2.355030,-9.777367 
0.368000,2.494271 
-9.746546,0.369000 
2.378237,-9.885238 
0.370000,2.285410 
-9.823597,0.371000 
2.262203,-9.777367 
0.372000,2.331823 
-9.715726,0.373000 
2.587099,-9.854417 
0.374000,2.471065 
-9.808187,0.375000 
2.587099,-9.808187 
0.376000,2.726340 
-9.869828,0.377000 
2.633513,-9.669495 
0.378000,2.726340 
-9.731136,0.379000 
2.656720,-9.777367 
0.380000,2.610306 
-9.808187,0.381000 
2.633513,-9.731136 
0.382000,2.772754 
-9.700316,0.383000 
2.819168,-9.731136 
0.384000,2.772754 
-9.684906,0.385000 
2.842375,-9.669495 
0.386000,2.772754 
-9.746546,0.387000 
2.610306,-9.823597 
0.388000,2.633513 
-9.715726,0.389000 
2.610306,-9.761956 
0.390000,2.378237 
-9.746546,0.391000 
2.587099,-9.792777 
0.392000,2.633513 
-9.808187,0.393000 
2.633513,-9.761956 
0.394000,2.610306 
-9.854417,0.395000 
2.911995,-9.808187 
0.396000,2.447858 
-9.731136,0.397000 
2.401444,-9.715726 
0.398000,2.424651 
-9.654085,0.399000 
2.447858,-9.746546 
0.400000,2.424651 
-9.808187,0.401000 
2.401444,-9.854417 
0.402000,2.378237 
-9.669495,0.403000 
2.471065,-9.669495 
0.404000,2.401444 
-9.700316,0.405000 
2.471065,-9.654085 
0.406000,2.471065 
-9.746546,0.407000 
2.494271,-9.792777 
0.408000,2.447858 
-9.715726,0.409000 
2.424651,-9.715726 
0.410000,2.587099 
-9.654085,0.411000 
2.471065,-9.792777 
0.412000,2.610306 
-9.715726,0.413000 
2.563892,-9.792777 
0.414000,2.447858 
-9.684906,0.415000 
2.471065,-9.700316 
0.416000,2.424651 
-9.684906,0.417000 
2.378237,-9.792777 
0.418000,2.424651 
-9.777367,0.419000 
2.447858,-9.731136 
0.420000,2.517478 
-9.684906,0.421000 
2.517478,-9.777367 
0.422000,2.447858 
-9.731136,0.423000 
2.424651,-9.638675 
0.424000,2.447858 
-9.700316,0.425000 
2.447858,-9.715726 
0.426000,2.494271 
-9.684906,0.427000 
2.424651,-9.715726 
0.428000,2.378237 
-9.715726,0.429000 
2.471065,-9.854417 
0.430000,2.447858 
-9.623265,0.431000 
2.471065,-9.700316 
0.432000,2.424651 
-9.700316,0.433000 
2.447858,-9.654085 
0.434000,2.517478 
-9.592445,0.435000 
2.401444,-9.700316 
0.436000,2.656720 
-9.715726,0.437000 
2.679926,-9.746546 
0.438000,2.610306 
-9.792777,0.439000 
2.517478,-9.761956 
0.440000,2.424651 
-9.808187,0.441000 
2.447858,-9.808187 
0.442000,2.447858 
-9.715726,0.443000 
2.494271,-9.731136 
0.444000,2.494271 
-9.684906,0.445000 
2.633513,-9.731136 
