time (s) 	 Voltage (V) 
0.326000 	 3.338563 
0.327000 	 3.348862 
0.328000 	 3.361737 
0.329000 	 3.372036 
0.330000 	 3.384911 
0.331000 	 3.396498 
0.332000 	 3.406797 
0.333000 	 3.418384 
0.334000 	 3.431259 
0.335000 	 3.441558 
0.336000 	 3.453145 
0.337000 	 3.464732 
0.338000 	 3.477607 
0.339000 	 3.489193 
0.340000 	 3.499493 
0.341000 	 3.511080 
0.342000 	 3.522667 
0.343000 	 3.535541 
0.344000 	 3.545841 
0.345000 	 3.557428 
0.346000 	 3.570302 
0.347000 	 3.581889 
0.348000 	 3.593476 
0.349000 	 3.605063 
0.350000 	 3.616650 
0.351000 	 3.629525 
0.352000 	 3.641112 
0.353000 	 3.652699 
0.354000 	 3.665573 
0.355000 	 3.677160 
0.356000 	 3.688747 
0.357000 	 3.700334 
0.358000 	 3.711921 
0.359000 	 3.724795 
0.360000 	 3.736382 
0.361000 	 3.749257 
0.362000 	 3.760844 
0.363000 	 3.771143 
0.364000 	 3.784018 
0.365000 	 3.796892 
0.366000 	 3.807192 
0.367000 	 3.820066 
0.368000 	 3.831653 
0.369000 	 3.844528 
0.370000 	 3.856115 
0.371000 	 3.866414 
0.372000 	 3.879289 
0.373000 	 3.893450 
0.374000 	 3.903750 
0.375000 	 3.916624 
0.376000 	 3.928211 
0.377000 	 3.939798 
0.378000 	 3.952673 
0.379000 	 3.964260 
0.380000 	 3.977134 
0.381000 	 3.990009 
0.382000 	 4.001596 
0.383000 	 4.013183 
0.384000 	 4.024769 
0.385000 	 4.038931 
0.386000 	 4.050518 
0.387000 	 4.062105 
0.388000 	 4.074980 
0.389000 	 4.086567 
0.390000 	 4.099441 
0.391000 	 4.111028 
0.392000 	 4.123903 
0.393000 	 4.135490 
0.394000 	 4.148364 
0.395000 	 4.159951 
0.396000 	 4.172825 
0.397000 	 4.184412 
0.398000 	 4.197287 
0.399000 	 4.208874 
0.400000 	 4.221748 
0.401000 	 4.234623 
0.402000 	 4.246210 
0.403000 	 4.259084 
0.404000 	 4.271958 
0.405000 	 4.283545 
0.406000 	 4.296420 
0.407000 	 4.308007 
0.408000 	 4.322169 
0.409000 	 4.332468 
0.410000 	 4.346630 
0.411000 	 4.359504 
0.412000 	 4.371091 
0.413000 	 4.382678 
0.414000 	 4.395553 
0.415000 	 4.408427 
0.416000 	 4.420014 
0.417000 	 4.432889 
0.418000 	 4.445763 
